"","time","hr","phase"
"1",332.854110003,64,1
"2",341.854110003,62,1
"3",342.854110003,62,1
"4",351.854110003,60,1
"5",352.854079962,59,1
"6",361.854079962,57,1
"7",366.854110003,57,1
"8",369.854110003,57,1
"9",375.854079962,57,1
"10",377.854079962,57,1
"11",384.854079962,57,1
"12",391.854110003,57,1
"13",392.854110003,57,1
"14",401.854110003,59,1
"15",405.854110003,59,1
"16",407.854110003,59,1
"17",414.854110003,59,1
"18",421.854110003,58,1
"19",426.854079962,57,1
"20",430.854110003,58,1
"21",432.854110003,58,1
"22",438.854079962,58,1
"23",443.854110003,58,1
"24",448.854110003,57,1
"25",455.854110003,56,1
"26",460.854110003,56,1
"27",466.854110003,58,1
"28",468.854110003,58,1
"29",473.854110003,57,1
"30",477.854110003,59,1
"31",485.854110003,62,2
"32",490.854079962,60,2
"33",496.854079962,59,2
"34",501.854110003,59,2
"35",502.854110003,59,2
"36",507.854110003,60,2
"37",513.854110003,59,2
"38",517.854079962,59,2
"39",523.854079962,59,2
"40",529.854079962,59,2
"41",534.854110003,60,2
"42",540.854110003,60,2
"43",542.854110003,60,2
"44",549.854110003,59,2
"45",556.854110003,59,2
"46",557.854110003,59,2
"47",563.854079962,59,2
"48",569.854110003,60,2
"49",576.854110003,61,2
"50",580.854110003,60,2
"51",586.854079962,60,2
"52",588.854079962,59,2
"53",592.854110003,60,2
"54",601.854079962,62,2
"55",602.854110003,62,2
"56",609.854079962,61,2
"57",616.854079962,60,2
"58",620.854110003,61,2
"59",622.854110003,60,2
"60",628.854110003,60,2
"61",632.854110003,59,2
"62",641.854079962,57,2
"63",642.854079962,58,2
"64",647.854110003,59,2
"65",656.854110003,62,2
"66",657.854079962,62,2
"67",665.854110003,62,2
"68",671.854079962,61,2
"69",676.854110003,60,2
"70",677.854079962,60,2
"71",685.854079962,61,2
"72",687.854079962,61,2
"73",696.854110003,59,2
"74",698.854079962,59,2
"75",705.854079962,60,2
"76",711.854079962,60,2
"77",714.854079962,59,2
"78",717.854079962,59,2
"79",725.854110003,59,2
"80",730.854110003,59,2
"81",736.854110003,59,2
"82",738.854110003,60,2
"83",743.854079962,60,2
"84",748.854079962,60,2
"85",755.854079962,59,2
"86",757.854110003,59,2
"87",766.854110003,58,2
"88",769.854110003,58,2
"89",773.854079962,59,2
"90",778.854110003,59,2
"91",783.854110003,59,2
"92",787.854110003,59,2
"93",793.854110003,61,2
"94",801.854079962,63,2
"95",802.854110003,62,2
"96",808.854110003,61,2
"97",814.854110003,63,2
"98",821.854079962,63,2
"99",822.854079962,63,2
"100",828.854110003,62,2
"101",836.854079962,62,2
"102",838.854110003,62,2
"103",843.854110003,64,2
"104",850.854110003,62,2
"105",855.854110003,61,2
"106",861.854079962,61,2
"107",866.854110003,60,2
"108",871.854110003,60,2
"109",872.854110003,61,2
"110",877.854110003,61,2
"111",885.854079962,63,2
"112",891.854110003,62,2
"113",892.854079962,62,2
"114",901.854110003,61,2
"115",904.854110003,60,2
"116",911.854079962,59,2
"117",914.854110003,60,2
"118",918.854110003,60,2
"119",922.854079962,61,2
"120",928.854110003,61,2
"121",934.854079962,61,2
"122",941.854110003,61,2
"123",946.854110003,60,2
"124",947.854110003,61,2
"125",954.854110003,62,2
"126",957.854110003,62,2
"127",965.854110003,61,2
"128",970.854110003,61,2
"129",973.854110003,61,2
"130",977.854079962,62,2
"131",986.854110003,62,2
"132",989.854110003,62,2
"133",995.854110003,62,2
"134",999.854110003,62,2
"135",1002.85407996,62,2
"136",1011.85407996,60,2
"137",1016.85407996,60,2
"138",1019.85407996,60,2
"139",1025.85411,61,2
"140",1031.85407996,62,2
"141",1035.85411,62,2
"142",1039.85411,62,2
"143",1042.85407996,63,2
"144",1048.85411,63,2
"145",1052.85411,62,3
"146",1060.85411,62,3
"147",1062.85407996,61,3
"148",1071.85411,60,3
"149",1072.85411,60,3
"150",1080.85411,60,3
"151",1083.85411,62,3
"152",1091.85407996,63,3
"153",1096.85407996,63,3
"154",1099.85411,62,3
"155",1106.85411,61,3
"156",1109.85411,61,3
"157",1114.85411,62,3
"158",1121.85411,64,3
"159",1123.85407996,64,3
"160",1127.85411,63,3
"161",1132.85411,62,3
"162",1140.85411,63,3
"163",1142.85411,63,3
"164",1147.85411,62,3
"165",1154.85411,62,3
"166",1160.85407996,62,3
"167",1166.85411,63,3
"168",1167.85411,63,3
"169",1176.85407996,64,3
"170",1177.85411,64,3
"171",1183.85407996,64,3
"172",1187.85407996,64,3
"173",1196.85411,62,3
"174",1199.85407996,62,3
"175",1206.85411,63,3
"176",1208.85411,63,3
"177",1216.85407996,64,3
"178",1221.85407996,64,3
"179",1226.85411,64,3
"180",1227.85411,64,3
"181",1234.85407996,64,3
"182",1237.85407996,64,3
"183",1244.85411,66,3
"184",1251.85407996,65,3
"185",1254.85411,64,3
"186",1259.85411,65,3
"187",1262.85411,66,3
"188",1267.85407996,66,3
"189",1276.85411,64,3
"190",1281.85407996,64,3
"191",1284.85411,64,3
"192",1289.85407996,65,3
"193",1296.85407996,65,3
"194",1299.85411,65,3
"195",1306.85411,65,3
"196",1309.85407996,65,3
"197",1312.85407996,66,3
"198",1320.85411,64,3
"199",1325.85407996,64,3
"200",1327.85411,64,3
"201",1333.85407996,64,3
"202",1338.85411,66,3
"203",1346.85411,65,3
"204",1349.85411,64,3
"205",1356.85411,64,3
"206",1359.85411,64,3
"207",1363.85411,64,3
"208",1368.85411,65,3
"209",1374.85411,65,3
"210",1377.85407996,65,3
"211",1385.85407996,65,3
"212",1391.85411,65,3
"213",1394.85411,65,3
"214",1397.85411,65,3
"215",1405.85411,65,3
"216",1407.85411,65,3
"217",1413.85407996,65,3
"218",1419.85407996,65,3
"219",1422.85411,65,3
"220",1428.85411,65,3
"221",1434.85411,65,3
"222",1437.85411,65,3
"223",1446.85411,64,3
"224",1451.85411,64,3
"225",1453.85411,64,3
"226",1457.85411,65,3
"227",1463.85407996,65,3
"228",1468.85411,66,3
"229",1474.85407996,65,3
"230",1477.85407996,65,3
"231",1482.85411,65,3
"232",1491.85411,64,3
"233",1495.85411,64,3
"234",1499.85411,65,3
"235",1506.85411,66,3
"236",1507.85411,66,3
"237",1513.85411,65,3
"238",1521.85411,66,3
"239",1525.85411,66,3
"240",1529.85407996,67,3
"241",1533.85411,67,3
"242",1541.85407996,66,3
"243",1545.85411,66,3
"244",1551.85407996,66,3
"245",1554.85407996,66,3
"246",1558.85411,66,3
"247",1565.85411,66,3
"248",1570.85411,66,3
"249",1572.85407996,67,3
"250",1577.85411,67,3
"251",1586.85411,66,3
"252",1587.85407996,66,3
"253",1594.85411,65,3
"254",1598.85411,65,3
"255",1605.85411,65,3
"256",1609.85411,66,3
"257",1614.85407996,65,3
"258",1617.85411,65,3
"259",1625.85411,65,3
"260",1631.85407996,65,3
"261",1633.85407996,65,3
"262",1637.85411,66,3
"263",1642.85411,67,3
"264",1649.85411,65,3
"265",1653.85407996,67,3
"266",1661.85407996,67,3
"267",1665.85411,67,3
"268",1670.85411,65,3
"269",1674.85411,65,3
"270",1679.85411,65,3
"271",1683.85411,65,3
"272",1690.85407996,65,3
"273",1696.85411,66,3
"274",1697.85407996,66,3
"275",1702.85411,68,3
"276",1711.85411,83,3
"277",1716.85407996,88,3
"278",1721.85411,90,3
"279",1722.85411,89,3
"280",1727.85411,81,3
"281",1736.85411,70,3
"282",1741.85411,67,3
"283",1746.85411,66,3
"284",1751.85411,65,3
"285",1756.85411,66,3
"286",1757.85411,66,3
"287",1765.85411,65,3
"288",1770.85407996,65,3
"289",1776.85407996,64,3
"290",1779.85411,65,3
"291",1784.85407996,65,3
"292",1790.85407996,64,3
"293",1792.85411,65,3
"294",1799.85411,64,3
"295",1806.85411,65,3
"296",1807.85407996,65,3
"297",1812.85411,65,3
"298",1820.85411,63,3
"299",1826.85407996,63,3
"300",1828.85411,63,3
"301",1833.85411,64,3
"302",1840.85411,66,3
"303",1845.85407996,66,3
"304",1849.85411,67,3
"305",1852.85411,67,3
"306",1857.85407996,66,3
"307",1865.85411,64,3
"308",1870.85411,64,3
"309",1875.85407996,66,3
"310",1878.85411,66,3
"311",1886.85411,63,3
"312",1889.85411,64,3
"313",1892.85411,64,3
"314",1898.84782004,64,3
"315",1905.84779,64,3
"316",1907.84779,64,3
"317",1912.84782004,64,3
"318",1920.84782004,62,3
"319",1926.84782004,64,3
"320",1927.84779,64,3
"321",1933.84782004,63,3
"322",1941.84779,64,3
"323",1944.84779,64,3
"324",1947.84782004,64,3
"325",1955.84782004,64,3
"326",1957.84779,64,3
"327",1965.84779,65,3
"328",1971.84779,66,3
"329",1972.84782004,65,3
"330",1981.84782004,64,3
"331",1985.84779,65,3
"332",1987.84782004,64,3
"333",1996.84779,64,3
"334",1997.84782004,64,3
"335",2006.84782004,65,3
"336",2007.84782004,65,3
"337",2014.84779,65,3
"338",2019.84782004,65,3
"339",2022.84779,65,3
"340",2031.84782004,64,3
"341",2035.84779,65,3
"342",2038.84782004,65,3
"343",2044.84779,64,3
"344",2048.84779,65,3
"345",2055.84782004,64,3
"346",2061.84782004,65,3
"347",2064.84782004,65,3
"348",2067.84782004,65,3
"349",2072.84779,65,3
"350",2081.84779,66,3
"351",2085.84782004,66,3
"352",2091.84779,65,3
"353",2095.84779,65,3
"354",2101.84782004,63,3
"355",2106.84782004,64,3
"356",2108.84779,64,3
"357",2114.84782004,65,3
"358",2117.84779,66,3
"359",2122.84782004,67,3
"360",2127.84779,66,3
"361",2136.84782004,64,3
"362",2139.84782004,64,3
"363",2143.84779,65,3
"364",2150.84782004,65,3
"365",2156.84779,65,3
"366",2161.84782004,65,3
"367",2163.84782004,65,3
"368",2170.84782004,65,3
"369",2175.84779,65,3
"370",2178.84782004,66,3
"371",2182.84782004,65,3
"372",2189.84779,64,3
"373",2196.84782004,64,3
"374",2197.84782004,64,3
"375",2205.84782004,64,3
"376",2208.84782004,64,3
"377",2214.84779,65,3
"378",2218.84782004,65,3
"379",2224.84779,66,3
"380",2228.84779,65,3
"381",2233.84782004,65,3
"382",2241.84779,62,3
"383",2245.84782004,62,3
"384",2248.84782004,62,3
"385",2252.84779,62,3
"386",2260.84779,60,3
"387",2264.84779,61,3
"388",2267.84782004,63,3
"389",2276.84782004,62,3
"390",2280.84782004,62,3
"391",2285.84782004,63,3
"392",2291.84779,63,3
"393",2292.84782004,63,3
"394",2298.84782004,64,3
"395",2305.84779,64,3
"396",2310.84782004,65,3
"397",2312.84779,64,3
"398",2321.84782004,64,3
"399",2322.84779,65,3
"400",2330.84779,65,3
"401",2336.84779,64,3
"402",2339.84779,64,3
"403",2343.84779,65,3
"404",2350.84779,65,3
"405",2356.84779,65,3
"406",2360.84782004,66,3
"407",2363.84782004,66,3
"408",2370.84782004,65,3
"409",2373.84782004,65,3
"410",2377.84782004,65,3
"411",2382.84782004,64,3
"412",2391.84782004,64,3
"413",2392.84782004,64,3
"414",2401.84782004,62,3
"415",2406.84782004,63,3
"416",2410.84782004,64,3
"417",2416.84779,64,3
"418",2418.84782004,64,3
"419",2422.84779,64,3
"420",2430.84782004,62,3
"421",2433.84782004,62,3
"422",2439.84782004,64,3
"423",2446.84782004,65,3
"424",2447.84779,65,3
"425",2452.84782004,65,3
"426",2461.84782004,63,3
"427",2466.84782004,64,3
"428",2467.84782004,64,3
"429",2475.84779,64,3
"430",2479.84779,65,3
"431",2482.84782004,65,3
"432",2489.84779,65,3
"433",2494.84782004,64,3
"434",2499.84782004,64,3
"435",2506.84782004,64,3
"436",2511.84782004,64,3
"437",2513.84782004,65,3
"438",2518.84779,65,3
"439",2526.84782004,64,3
"440",2527.84782004,64,3
"441",2535.84782004,64,3
"442",2541.84779,64,3
"443",2542.84782004,64,3
"444",2551.84782004,63,3
"445",2554.84779,63,3
"446",2558.84782004,63,3
"447",2566.84779,63,3
"448",2567.84782004,63,3
"449",2576.84782004,65,3
"450",2577.84782004,64,3
"451",2586.84782004,63,3
"452",2589.84782004,64,3
"453",2592.84782004,64,3
"454",2601.84782004,66,3
"455",2606.84782004,65,3
"456",2608.84782004,66,3
"457",2616.84782004,66,3
"458",2618.84782004,65,3
"459",2625.84782004,64,3
"460",2631.84782004,64,3
"461",2634.84782004,64,3
"462",2639.84782004,64,3
"463",2644.84782004,65,3
"464",2650.84782004,66,3
"465",2653.84782004,66,3
"466",2657.84782004,66,3
"467",2665.84782004,66,3
"468",2671.84779,66,3
"469",2675.84782004,66,3
"470",2678.84779,66,3
"471",2685.84782004,66,3
"472",2687.84782004,66,3
"473",2693.84782004,67,3
"474",2697.84782004,67,3
"475",2706.84782004,68,3
"476",2707.84782004,68,3
"477",2716.84782004,66,3
"478",2719.84779,66,3
"479",2725.84782004,66,3
"480",2729.84782004,66,3
"481",2732.84779,66,3
"482",2738.84782004,65,3
"483",2742.84782004,64,3
"484",2750.84782004,65,3
"485",2753.84779,65,3
"486",2758.84782004,66,3
"487",2765.84779,65,3
"488",2767.84782004,65,3
"489",2776.84782004,66,3
"490",2779.84779,66,3
"491",2783.84782004,66,3
"492",2788.84782004,66,3
"493",2794.84782004,65,3
"494",2798.84779,65,3
"495",2805.84782004,64,3
"496",2810.84782004,65,3
"497",2816.84782004,65,3
"498",2820.84782004,65,3
"499",2825.84782004,66,3
"500",2831.84782004,65,3
"501",2836.84779,65,3
"502",2838.84779,65,3
"503",2843.84782004,65,3
"504",2850.84782004,65,3
"505",2853.84782004,66,3
"506",2861.84782004,66,3
"507",2862.84779,67,3
"508",2868.84779,67,3
"509",2876.84782004,66,3
"510",2879.84782004,65,3
"511",2882.84779,66,3
"512",2889.84779,65,3
"513",2892.84782004,65,3
"514",2901.84782004,62,3
"515",2903.84782004,63,3
"516",2907.84782004,63,3
"517",2915.84782004,64,3
"518",2919.84779,65,3
"519",2923.84782004,64,3
"520",2928.84782004,65,3
"521",2935.84779,64,3
"522",2941.84782004,64,3
"523",2943.84779,64,3
"524",2951.84779,64,3
"525",2954.84779,64,3
"526",2959.84782004,64,3
"527",2962.84779,64,3
"528",2971.84779,62,3
"529",2974.84782004,63,3
"530",2979.84779,63,3
"531",2984.84779,63,3
"532",2991.84782004,62,3
"533",2994.84782004,63,3
"534",3001.84782004,64,3
"535",3006.84782004,64,3
"536",3007.84779,64,3
"537",3012.84782004,63,3
"538",3021.84782004,61,3
"539",3025.84782004,62,3
"540",3027.84782004,63,3
"541",3036.84782004,65,3
"542",3038.84782004,64,3
"543",3044.84782004,64,3
"544",3049.84782004,65,3
"545",3055.84779,64,3
"546",3057.84779,65,3
"547",3063.84782004,66,3
"548",3067.84782004,67,3
"549",3076.84782004,64,3
"550",3078.84782004,64,3
"551",3082.84779,64,3
"552",3089.84782004,64,3
"553",3092.84782004,64,3
"554",3100.84779,63,3
"555",3105.84782004,64,3
"556",3107.84779,64,3
"557",3115.84782004,64,3
"558",3117.84782004,64,3
"559",3124.84782004,65,3
"560",3127.84779,65,3
"561",3132.84782004,64,3
"562",3139.84782004,63,3
"563",3142.84782004,62,3
"564",3150.84782004,64,3
"565",3155.84782004,64,3
"566",3160.84782004,64,3
"567",3162.84779,65,3
"568",3171.84782004,62,3
"569",3176.84779,62,3
"570",3180.84779,63,3
"571",3184.84782004,64,3
"572",3188.84779,64,3
"573",3195.84782004,63,3
"574",3198.84782004,63,3
"575",3203.84779,62,3
"576",3208.84779,64,3
"577",3216.84782004,64,3
"578",3217.84782004,64,3
"579",3226.84782004,63,3
"580",3229.84779,64,3
"581",3232.84782004,64,3
"582",3276.84782004,81,2
"583",3281.84782004,81,2
"584",3283.84782004,80,2
"585",3287.84779,78,2
"586",3296.84782004,72,2
"587",3298.84782004,73,2
"588",3306.84782004,74,2
"589",3307.84782004,73,2
"590",3312.84779,72,2
"591",3317.84782004,71,2
"592",3326.84779,67,2
"593",3328.84782004,68,2
"594",3336.84779,65,2
"595",3341.84782004,65,2
"596",3346.84782004,65,2
"597",3348.84779,65,2
"598",3352.84782004,66,2
"599",3357.84782004,66,2
"600",3362.84782004,67,2
"601",3369.84782004,66,2
"602",3373.84779,67,2
"603",3381.84782004,67,2
"604",3386.84779,66,2
"605",3389.84779,66,2
"606",3395.84782004,67,2
"607",3400.84779,68,2
