grupa_wiekowa;plec;wojewodztwo_pacjenta;wojewodztwo_placowki;znacznik_czasu;procedura_icd9;liczba_procedur;liczba_pacjentow
0-18;K;lubelskie;œl¹skie;283;88.721;5;<5
0-18;K;opolskie;œl¹skie;287;88.721;5;<5
0-18;M;œl¹skie;œl¹skie;287;88.721;5;<5
0-18;M;;œl¹skie;277;88.721;5;<5
0-18;M;;œl¹skie;288;89.522;5;<5
0-18;M;;wielkopolskie;281;88.721;5;<5
19-65;K;dolnoœl¹skie;dolnoœl¹skie;277;89.502;5;5
19-65;K;dolnoœl¹skie;dolnoœl¹skie;279;89.501;5;5
19-65;K;dolnoœl¹skie;dolnoœl¹skie;280;89.501;5;5
19-65;K;dolnoœl¹skie;dolnoœl¹skie;282;89.501;5;5
19-65;K;dolnoœl¹skie;dolnoœl¹skie;283;89.502;5;5
19-65;K;dolnoœl¹skie;dolnoœl¹skie;285;89.501;5;5
19-65;K;dolnoœl¹skie;;283;88.721;5;5
19-65;K;kujawsko-pomorskie;kujawsko-pomorskie;277;89.502;5;<5
19-65;K;kujawsko-pomorskie;kujawsko-pomorskie;287;89.41;5;5
19-65;K;kujawsko-pomorskie;œl¹skie;283;88.721;5;<5
19-65;K;³ódzkie;³ódzkie;278;89.501;5;<5
19-65;K;³ódzkie;œl¹skie;289;88.721;5;<5
19-65;K;³ódzkie;œl¹skie;289;89.522;5;<5
19-65;K;lubelskie;lubelskie;279;89.502;5;5
19-65;K;lubelskie;lubelskie;287;89.41;5;5
19-65;K;lubelskie;lubelskie;289;89.501;5;<5
19-65;K;lubuskie;;276;89.522;5;<5
19-65;K;lubuskie;;280;89.522;5;<5
19-65;K;lubuskie;;281;89.522;5;5
19-65;K;ma³opolskie;ma³opolskie;277;89.502;5;5
19-65;K;ma³opolskie;ma³opolskie;288;89.501;5;<5
19-65;K;ma³opolskie;ma³opolskie;289;89.501;5;5
19-65;K;ma³opolskie;œl¹skie;284;89.522;5;<5
19-65;K;ma³opolskie;œl¹skie;286;88.721;5;<5
19-65;K;mazowieckie;kujawsko-pomorskie;289;89.522;5;<5
19-65;K;mazowieckie;mazowieckie;277;89.502;5;5
19-65;K;mazowieckie;mazowieckie;281;89.502;5;5
19-65;K;opolskie;dolnoœl¹skie;288;88.721;5;<5
19-65;K;opolskie;opolskie;277;88.721;5;<5
19-65;K;opolskie;œl¹skie;278;88.721;5;<5
19-65;K;opolskie;œl¹skie;286;89.522;5;<5
19-65;K;opolskie;;281;89.522;5;5
19-65;K;opolskie;;286;89.522;5;5
19-65;K;podkarpackie;podkarpackie;285;89.501;5;5
19-65;K;podkarpackie;podkarpackie;286;89.502;5;<5
19-65;K;podkarpackie;podkarpackie;288;89.502;5;<5
19-65;K;podkarpackie;;277;89.522;5;5
19-65;K;podkarpackie;;279;89.522;5;<5
19-65;K;podkarpackie;;286;89.522;5;<5
19-65;K;podkarpackie;;289;89.522;5;5
19-65;K;podlaskie;podlaskie;277;88.721;5;<5
19-65;K;podlaskie;podlaskie;278;89.502;5;5
19-65;K;podlaskie;podlaskie;283;89.502;5;5
19-65;K;podlaskie;podlaskie;288;88.721;5;5
19-65;K;podlaskie;;283;89.522;5;5
19-65;K;pomorskie;pomorskie;286;89.502;5;5
19-65;K;pomorskie;pomorskie;287;89.502;5;5
19-65;K;pomorskie;;276;89.522;5;5
19-65;K;pomorskie;;280;89.522;5;5
19-65;K;pomorskie;;289;89.522;5;5
19-65;K;œl¹skie;œl¹skie;280;89.501;5;<5
19-65;K;œl¹skie;œl¹skie;282;89.41;5;<5
19-65;K;œwiêtokrzyskie;œwiêtokrzyskie;280;88.721;5;<5
19-65;K;œwiêtokrzyskie;;286;89.522;5;<5
19-65;K;warmiñsko-mazurskie;warmiñsko-mazurskie;284;89.502;5;5
19-65;K;warmiñsko-mazurskie;;279;89.522;5;5
19-65;K;warmiñsko-mazurskie;;283;89.522;5;<5
19-65;K;wielkopolskie;wielkopolskie;279;89.41;5;<5
19-65;K;wielkopolskie;wielkopolskie;281;89.41;5;<5
19-65;K;wielkopolskie;wielkopolskie;285;89.502;5;5
19-65;K;wielkopolskie;wielkopolskie;289;89.502;5;5
19-65;K;zachodniopomorskie;zachodniopomorskie;281;89.502;5;<5
19-65;K;zachodniopomorskie;zachodniopomorskie;289;88.721;5;<5
19-65;K;zachodniopomorskie;;279;89.522;5;5
19-65;K;zachodniopomorskie;;286;89.522;5;<5
19-65;K;;dolnoœl¹skie;278;88.721;5;5
19-65;K;;dolnoœl¹skie;282;88.721;5;<5
19-65;K;;kujawsko-pomorskie;288;88.721;5;5
19-65;K;;³ódzkie;281;88.721;5;5
19-65;K;;³ódzkie;286;88.721;5;5
19-65;K;;³ódzkie;286;89.502;5;5
19-65;K;;³ódzkie;287;89.502;5;<5
19-65;K;;³ódzkie;288;89.502;5;5
19-65;K;;lubelskie;281;88.721;5;<5
19-65;K;;lubelskie;282;89.502;5;5
19-65;K;;lubelskie;283;88.721;5;5
19-65;K;;lubuskie;288;88.721;5;<5
19-65;K;;ma³opolskie;281;89.502;5;<5
19-65;K;;ma³opolskie;283;88.721;5;5
19-65;K;;ma³opolskie;288;89.502;5;5
19-65;K;;mazowieckie;276;88.721;5;<5
19-65;K;;mazowieckie;282;88.721;5;5
19-65;K;;opolskie;280;89.522;5;5
19-65;K;;opolskie;285;88.721;5;<5
19-65;K;;podkarpackie;279;88.721;5;5
19-65;K;;podkarpackie;283;88.721;5;5
19-65;K;;podkarpackie;286;89.502;5;5
19-65;K;;podkarpackie;289;88.721;5;5
19-65;K;;podlaskie;279;89.502;5;<5
19-65;K;;podlaskie;281;88.721;5;<5
19-65;K;;podlaskie;282;88.721;5;5
19-65;K;;pomorskie;284;88.721;5;5
19-65;K;;pomorskie;287;88.721;5;5
19-65;K;;pomorskie;289;88.721;5;<5
19-65;K;;œl¹skie;278;88.721;5;5
19-65;K;;œl¹skie;288;88.721;5;<5
19-65;K;;œwiêtokrzyskie;284;89.502;5;<5
19-65;K;;warmiñsko-mazurskie;280;89.522;5;5
19-65;K;;warmiñsko-mazurskie;282;88.721;5;<5
19-65;K;;warmiñsko-mazurskie;286;89.522;5;5
19-65;K;;warmiñsko-mazurskie;287;89.522;5;5
19-65;K;;warmiñsko-mazurskie;289;88.721;5;5
19-65;K;;wielkopolskie;278;37.83;5;<5
19-65;K;;wielkopolskie;282;89.522;5;5
19-65;K;;zachodniopomorskie;284;89.522;5;<5
19-65;M;dolnoœl¹skie;dolnoœl¹skie;276;89.41;5;5
19-65;M;dolnoœl¹skie;dolnoœl¹skie;281;89.41;5;5
19-65;M;dolnoœl¹skie;dolnoœl¹skie;284;36.070;5;5
19-65;M;dolnoœl¹skie;dolnoœl¹skie;285;89.41;5;5
19-65;M;dolnoœl¹skie;dolnoœl¹skie;285;89.501;5;5
19-65;M;dolnoœl¹skie;dolnoœl¹skie;286;89.41;5;5
19-65;M;dolnoœl¹skie;œl¹skie;277;89.522;5;<5
19-65;M;dolnoœl¹skie;œl¹skie;281;88.721;5;<5
19-65;M;dolnoœl¹skie;œl¹skie;281;89.522;5;<5
19-65;M;dolnoœl¹skie;œl¹skie;286;88.721;5;5
19-65;M;dolnoœl¹skie;œl¹skie;288;88.721;5;<5
19-65;M;dolnoœl¹skie;wielkopolskie;281;89.522;5;<5
19-65;M;dolnoœl¹skie;wielkopolskie;282;89.522;5;<5
19-65;M;dolnoœl¹skie;wielkopolskie;284;88.721;5;5
19-65;M;dolnoœl¹skie;wielkopolskie;289;89.522;5;<5
19-65;M;dolnoœl¹skie;;277;88.721;5;5
19-65;M;dolnoœl¹skie;;280;88.721;5;5
19-65;M;dolnoœl¹skie;;282;88.721;5;5
19-65;M;kujawsko-pomorskie;kujawsko-pomorskie;280;89.41;5;5
19-65;M;kujawsko-pomorskie;kujawsko-pomorskie;283;89.501;5;5
19-65;M;kujawsko-pomorskie;kujawsko-pomorskie;284;89.41;5;5
19-65;M;kujawsko-pomorskie;kujawsko-pomorskie;288;89.501;5;5
19-65;M;kujawsko-pomorskie;œl¹skie;276;89.522;5;<5
19-65;M;kujawsko-pomorskie;œl¹skie;282;88.721;5;<5
19-65;M;kujawsko-pomorskie;œl¹skie;286;88.721;5;<5
19-65;M;kujawsko-pomorskie;œl¹skie;289;88.721;5;5
19-65;M;kujawsko-pomorskie;œl¹skie;289;89.522;5;5
19-65;M;kujawsko-pomorskie;wielkopolskie;276;89.41;5;<5
19-65;M;³ódzkie;dolnoœl¹skie;284;89.522;5;<5
19-65;M;³ódzkie;³ódzkie;276;89.502;5;5
19-65;M;³ódzkie;³ódzkie;277;89.501;5;5
19-65;M;³ódzkie;³ódzkie;279;89.41;5;5
19-65;M;³ódzkie;³ódzkie;280;36.070;5;<5
19-65;M;³ódzkie;³ódzkie;280;89.501;5;5
19-65;M;³ódzkie;³ódzkie;283;36.070;5;5
19-65;M;³ódzkie;³ódzkie;283;36.071;5;5
19-65;M;³ódzkie;³ódzkie;286;89.41;5;5
19-65;M;³ódzkie;³ódzkie;289;89.501;5;5
19-65;M;³ódzkie;mazowieckie;288;89.522;5;<5
19-65;M;³ódzkie;mazowieckie;289;89.522;5;<5
19-65;M;³ódzkie;œl¹skie;278;89.522;5;<5
19-65;M;³ódzkie;œl¹skie;281;88.721;5;5
19-65;M;³ódzkie;œl¹skie;285;88.721;5;<5
19-65;M;lubelskie;lubelskie;282;89.501;5;5
19-65;M;lubelskie;lubelskie;283;89.501;5;5
19-65;M;lubuskie;lubuskie;280;36.070;5;<5
19-65;M;lubuskie;lubuskie;280;89.41;5;<5
19-65;M;lubuskie;lubuskie;283;89.502;5;<5
19-65;M;lubuskie;wielkopolskie;276;89.522;5;5
19-65;M;lubuskie;wielkopolskie;279;89.522;5;<5
19-65;M;lubuskie;wielkopolskie;284;88.721;5;5
19-65;M;lubuskie;wielkopolskie;287;89.522;5;5
19-65;M;lubuskie;wielkopolskie;288;89.522;5;<5
19-65;M;ma³opolskie;ma³opolskie;277;89.501;5;<5
19-65;M;ma³opolskie;ma³opolskie;281;89.41;5;<5
19-65;M;ma³opolskie;ma³opolskie;281;89.501;5;<5
19-65;M;ma³opolskie;ma³opolskie;283;89.41;5;<5
19-65;M;ma³opolskie;ma³opolskie;284;89.41;5;5
19-65;M;ma³opolskie;ma³opolskie;288;36.070;5;5
19-65;M;ma³opolskie;ma³opolskie;289;89.41;5;<5
19-65;M;mazowieckie;kujawsko-pomorskie;284;89.522;5;<5
19-65;M;mazowieckie;³ódzkie;285;88.721;5;<5
19-65;M;mazowieckie;³ódzkie;285;89.522;5;<5
19-65;M;mazowieckie;³ódzkie;286;88.721;5;<5
19-65;M;mazowieckie;mazowieckie;280;89.501;5;5
19-65;M;mazowieckie;mazowieckie;283;89.501;5;5
19-65;M;mazowieckie;mazowieckie;286;89.41;5;5
19-65;M;mazowieckie;mazowieckie;288;89.41;5;5
19-65;M;mazowieckie;podlaskie;278;89.522;5;<5
19-65;M;mazowieckie;œl¹skie;277;88.721;5;<5
19-65;M;mazowieckie;œl¹skie;278;88.721;5;<5
19-65;M;mazowieckie;œl¹skie;278;89.522;5;<5
19-65;M;mazowieckie;œl¹skie;282;88.721;5;<5
19-65;M;mazowieckie;œl¹skie;288;88.721;5;<5
19-65;M;mazowieckie;;287;88.721;5;5
19-65;M;mazowieckie;;289;88.721;5;5
19-65;M;opolskie;dolnoœl¹skie;288;88.721;5;5
19-65;M;opolskie;opolskie;286;89.41;5;5
19-65;M;opolskie;opolskie;286;89.502;5;5
19-65;M;opolskie;opolskie;289;89.502;5;5
19-65;M;opolskie;œl¹skie;282;88.721;5;<5
19-65;M;opolskie;œl¹skie;286;89.522;5;5
19-65;M;opolskie;;284;89.522;5;5
19-65;M;podkarpackie;ma³opolskie;286;89.522;5;<5
19-65;M;podkarpackie;podkarpackie;277;89.502;5;5
19-65;M;podkarpackie;podkarpackie;283;89.501;5;5
19-65;M;podkarpackie;œl¹skie;289;89.522;5;<5
19-65;M;podlaskie;mazowieckie;288;89.522;5;<5
19-65;M;podlaskie;podlaskie;277;89.501;5;<5
19-65;M;podlaskie;podlaskie;278;89.501;5;<5
19-65;M;podlaskie;podlaskie;283;89.501;5;5
19-65;M;pomorskie;pomorskie;277;89.41;5;5
19-65;M;pomorskie;pomorskie;283;89.41;5;5
19-65;M;pomorskie;pomorskie;285;36.070;5;5
19-65;M;pomorskie;pomorskie;285;89.501;5;5
19-65;M;pomorskie;pomorskie;286;89.501;5;5
19-65;M;pomorskie;pomorskie;288;36.070;5;5
19-65;M;pomorskie;pomorskie;288;89.43;5;5
19-65;M;pomorskie;pomorskie;289;89.501;5;5
19-65;M;pomorskie;warmiñsko-mazurskie;288;89.522;5;<5
19-65;M;pomorskie;;280;88.721;5;5
19-65;M;pomorskie;;280;89.41;5;5
19-65;M;pomorskie;;284;88.721;5;5
19-65;M;œl¹skie;³ódzkie;286;89.522;5;<5
19-65;M;œl¹skie;ma³opolskie;286;89.522;5;<5
19-65;M;œl¹skie;opolskie;280;88.721;5;5
19-65;M;œl¹skie;opolskie;282;88.721;5;5
19-65;M;œl¹skie;œl¹skie;276;36.070;5;<5
19-65;M;œl¹skie;œl¹skie;277;36.071;5;<5
19-65;M;œl¹skie;œl¹skie;282;36.071;5;5
19-65;M;œl¹skie;œl¹skie;283;36.070;5;5
19-65;M;œl¹skie;œwiêtokrzyskie;276;89.522;5;<5
19-65;M;œwiêtokrzyskie;ma³opolskie;288;88.721;5;<5
19-65;M;œwiêtokrzyskie;œl¹skie;281;89.522;5;<5
19-65;M;œwiêtokrzyskie;œl¹skie;282;89.522;5;<5
19-65;M;œwiêtokrzyskie;œl¹skie;289;88.721;5;5
19-65;M;œwiêtokrzyskie;œl¹skie;289;89.522;5;5
19-65;M;œwiêtokrzyskie;œwiêtokrzyskie;278;89.502;5;<5
19-65;M;œwiêtokrzyskie;œwiêtokrzyskie;280;89.41;5;<5
19-65;M;œwiêtokrzyskie;œwiêtokrzyskie;280;89.502;5;5
19-65;M;œwiêtokrzyskie;œwiêtokrzyskie;282;89.501;5;<5
19-65;M;œwiêtokrzyskie;œwiêtokrzyskie;284;89.41;5;<5
19-65;M;warmiñsko-mazurskie;pomorskie;278;89.522;5;5
19-65;M;warmiñsko-mazurskie;pomorskie;286;88.721;5;5
19-65;M;warmiñsko-mazurskie;pomorskie;288;88.721;5;<5
19-65;M;warmiñsko-mazurskie;warmiñsko-mazurskie;281;89.502;5;<5
19-65;M;warmiñsko-mazurskie;warmiñsko-mazurskie;288;89.501;5;<5
19-65;M;warmiñsko-mazurskie;warmiñsko-mazurskie;289;89.41;5;<5
19-65;M;wielkopolskie;dolnoœl¹skie;282;88.721;5;<5
19-65;M;wielkopolskie;dolnoœl¹skie;288;89.522;5;<5
19-65;M;wielkopolskie;³ódzkie;281;89.522;5;<5
19-65;M;wielkopolskie;³ódzkie;282;88.721;5;5
19-65;M;wielkopolskie;œl¹skie;286;89.522;5;<5
19-65;M;wielkopolskie;œl¹skie;288;89.522;5;<5
19-65;M;wielkopolskie;wielkopolskie;276;89.41;5;5
19-65;M;wielkopolskie;wielkopolskie;276;89.501;5;<5
19-65;M;wielkopolskie;wielkopolskie;278;36.071;5;<5
19-65;M;wielkopolskie;wielkopolskie;278;89.41;5;5
19-65;M;wielkopolskie;wielkopolskie;279;36.071;5;<5
19-65;M;wielkopolskie;wielkopolskie;280;36.070;5;<5
19-65;M;wielkopolskie;wielkopolskie;280;89.501;5;<5
19-65;M;wielkopolskie;wielkopolskie;284;89.501;5;5
19-65;M;wielkopolskie;wielkopolskie;285;36.071;5;<5
19-65;M;wielkopolskie;wielkopolskie;286;89.41;5;5
19-65;M;wielkopolskie;;277;88.721;5;5
19-65;M;wielkopolskie;;289;88.721;5;5
19-65;M;zachodniopomorskie;wielkopolskie;276;89.522;5;<5
19-65;M;zachodniopomorskie;wielkopolskie;284;89.522;5;<5
19-65;M;zachodniopomorskie;wielkopolskie;286;89.522;5;<5
19-65;M;zachodniopomorskie;zachodniopomorskie;276;89.502;5;5
19-65;M;zachodniopomorskie;zachodniopomorskie;278;89.502;5;5
19-65;M;zachodniopomorskie;zachodniopomorskie;282;89.502;5;<5
19-65;M;zachodniopomorskie;zachodniopomorskie;287;89.502;5;<5
19-65;M;;³ódzkie;281;89.502;5;5
19-65;M;;³ódzkie;284;89.41;5;<5
19-65;M;;lubelskie;285;88.721;5;5
19-65;M;;lubuskie;285;89.522;5;<5
19-65;M;;ma³opolskie;281;89.501;5;5
19-65;M;;ma³opolskie;283;89.502;5;5
19-65;M;;ma³opolskie;286;89.41;5;5
19-65;M;;ma³opolskie;287;89.502;5;5
19-65;M;;mazowieckie;285;89.502;5;<5
19-65;M;;mazowieckie;289;89.502;5;5
19-65;M;;opolskie;277;88.721;5;<5
19-65;M;;opolskie;283;88.721;5;<5
19-65;M;;opolskie;286;88.721;5;5
19-65;M;;podkarpackie;277;89.502;5;<5
19-65;M;;podkarpackie;280;89.502;5;5
19-65;M;;podkarpackie;283;89.501;5;5
19-65;M;;podlaskie;277;89.502;5;<5
19-65;M;;podlaskie;278;88.721;5;5
19-65;M;;podlaskie;287;88.721;5;5
19-65;M;;podlaskie;289;89.502;5;<5
19-65;M;;pomorskie;284;89.502;5;5
19-65;M;;warmiñsko-mazurskie;284;89.501;5;<5
19-65;M;;warmiñsko-mazurskie;285;89.502;5;5
19-65;M;;wielkopolskie;284;89.502;5;5
19-65;M;;wielkopolskie;285;89.502;5;<5
19-65;M;;zachodniopomorskie;276;89.522;5;<5
19-65;M;;;277;88.721;5;<5
19-65;M;;;279;88.721;5;<5
19-65;M;;;280;88.721;5;5
19-65;M;;;288;88.721;5;5
65+;K;dolnoœl¹skie;dolnoœl¹skie;285;36.070;5;5
65+;K;dolnoœl¹skie;dolnoœl¹skie;287;37.83;5;<5
65+;K;dolnoœl¹skie;ma³opolskie;283;89.522;5;<5
65+;K;dolnoœl¹skie;opolskie;281;89.522;5;<5
65+;K;dolnoœl¹skie;opolskie;288;89.522;5;<5
65+;K;dolnoœl¹skie;wielkopolskie;278;89.502;5;<5
65+;K;dolnoœl¹skie;wielkopolskie;285;88.721;5;5
65+;K;dolnoœl¹skie;wielkopolskie;289;89.522;5;5
65+;K;dolnoœl¹skie;;278;88.721;5;<5
65+;K;dolnoœl¹skie;;279;88.721;5;5
65+;K;dolnoœl¹skie;;282;88.721;5;5
65+;K;dolnoœl¹skie;;288;88.721;5;5
65+;K;kujawsko-pomorskie;kujawsko-pomorskie;277;37.83;5;<5
65+;K;kujawsko-pomorskie;kujawsko-pomorskie;278;89.501;5;5
65+;K;kujawsko-pomorskie;kujawsko-pomorskie;279;36.070;5;<5
65+;K;kujawsko-pomorskie;kujawsko-pomorskie;282;36.070;5;5
65+;K;kujawsko-pomorskie;kujawsko-pomorskie;283;36.070;5;5
65+;K;³ódzkie;kujawsko-pomorskie;289;89.522;5;<5
65+;K;³ódzkie;³ódzkie;279;36.071;5;5
65+;K;³ódzkie;³ódzkie;280;36.070;5;5
65+;K;³ódzkie;³ódzkie;282;36.071;5;5
65+;K;³ódzkie;³ódzkie;284;36.071;5;5
65+;K;³ódzkie;³ódzkie;285;89.41;5;5
65+;K;³ódzkie;³ódzkie;287;89.41;5;5
65+;K;³ódzkie;³ódzkie;289;89.41;5;5
65+;K;³ódzkie;mazowieckie;282;89.522;5;<5
65+;K;³ódzkie;mazowieckie;283;88.721;5;<5
65+;K;³ódzkie;mazowieckie;288;89.522;5;5
65+;K;³ódzkie;œl¹skie;280;88.721;5;<5
65+;K;³ódzkie;œl¹skie;280;89.522;5;<5
65+;K;³ódzkie;œl¹skie;282;88.721;5;<5
65+;K;³ódzkie;œl¹skie;285;88.721;5;5
65+;K;lubelskie;lubelskie;284;36.070;5;<5
65+;K;lubelskie;podkarpackie;280;89.522;5;<5
65+;K;lubelskie;podkarpackie;282;89.522;5;<5
65+;K;lubuskie;lubuskie;280;36.070;5;<5
65+;K;lubuskie;lubuskie;285;89.502;5;5
65+;K;lubuskie;lubuskie;287;89.41;5;<5
65+;K;lubuskie;wielkopolskie;281;88.721;5;<5
65+;K;lubuskie;wielkopolskie;287;89.522;5;5
65+;K;lubuskie;wielkopolskie;289;89.522;5;<5
65+;K;ma³opolskie;ma³opolskie;278;36.070;5;5
65+;K;ma³opolskie;ma³opolskie;280;36.070;5;5
65+;K;ma³opolskie;œl¹skie;278;88.721;5;5
65+;K;ma³opolskie;œl¹skie;279;88.721;5;5
65+;K;ma³opolskie;;284;88.721;5;5
65+;K;ma³opolskie;;285;88.721;5;5
65+;K;mazowieckie;lubelskie;284;89.522;5;<5
65+;K;mazowieckie;lubelskie;289;89.522;5;<5
65+;K;mazowieckie;mazowieckie;279;36.070;5;<5
65+;K;mazowieckie;mazowieckie;280;36.070;5;<5
65+;K;mazowieckie;mazowieckie;281;89.41;5;<5
65+;K;mazowieckie;mazowieckie;285;36.070;5;5
65+;K;mazowieckie;mazowieckie;287;37.83;5;<5
65+;K;mazowieckie;mazowieckie;288;36.070;5;5
65+;K;mazowieckie;mazowieckie;288;37.83;5;5
65+;K;mazowieckie;podlaskie;278;89.522;5;5
65+;K;mazowieckie;podlaskie;287;89.522;5;5
65+;K;mazowieckie;œl¹skie;283;88.721;5;<5
65+;K;mazowieckie;œwiêtokrzyskie;281;89.522;5;5
65+;K;mazowieckie;œwiêtokrzyskie;287;89.522;5;5
65+;K;mazowieckie;;279;89.502;5;5
65+;K;opolskie;opolskie;279;89.501;5;5
65+;K;opolskie;opolskie;280;89.501;5;5
65+;K;opolskie;opolskie;282;89.502;5;5
65+;K;opolskie;œl¹skie;279;89.522;5;5
65+;K;opolskie;œl¹skie;282;89.522;5;<5
65+;K;opolskie;œl¹skie;285;89.522;5;5
65+;K;podkarpackie;lubelskie;278;89.522;5;5
65+;K;podkarpackie;lubelskie;286;89.522;5;<5
65+;K;podkarpackie;ma³opolskie;283;89.522;5;<5
65+;K;podkarpackie;podkarpackie;283;89.501;5;5
65+;K;podkarpackie;podkarpackie;284;36.070;5;<5
65+;K;podkarpackie;œwiêtokrzyskie;283;89.522;5;<5
65+;K;podlaskie;podlaskie;280;89.41;5;<5
65+;K;podlaskie;podlaskie;284;89.41;5;5
65+;K;podlaskie;podlaskie;285;89.41;5;5
65+;K;podlaskie;podlaskie;287;89.41;5;5
65+;K;pomorskie;pomorskie;280;89.41;5;5
65+;K;pomorskie;pomorskie;282;89.41;5;5
65+;K;pomorskie;pomorskie;286;36.070;5;5
65+;K;pomorskie;œl¹skie;288;88.721;5;<5
65+;K;pomorskie;warmiñsko-mazurskie;281;89.522;5;5
65+;K;pomorskie;;282;88.721;5;5
65+;K;pomorskie;;284;88.721;5;5
65+;K;pomorskie;;285;88.721;5;5
65+;K;œl¹skie;ma³opolskie;283;88.721;5;5
65+;K;œl¹skie;ma³opolskie;285;89.522;5;5
65+;K;œl¹skie;ma³opolskie;288;88.721;5;5
65+;K;œl¹skie;ma³opolskie;289;89.522;5;5
65+;K;œl¹skie;opolskie;287;89.522;5;<5
65+;K;œl¹skie;œl¹skie;278;36.071;5;<5
65+;K;œl¹skie;œl¹skie;284;37.83;5;5
65+;K;œl¹skie;œl¹skie;286;36.071;5;5
65+;K;œl¹skie;œl¹skie;286;37.82;5;5
65+;K;œl¹skie;œl¹skie;288;36.072;5;5
65+;K;œwiêtokrzyskie;mazowieckie;288;89.522;5;<5
65+;K;œwiêtokrzyskie;œwiêtokrzyskie;276;89.41;5;<5
65+;K;œwiêtokrzyskie;œwiêtokrzyskie;289;37.83;5;5
65+;K;œwiêtokrzyskie;;276;88.721;5;5
65+;K;warmiñsko-mazurskie;podlaskie;278;89.522;5;<5
65+;K;warmiñsko-mazurskie;podlaskie;279;88.721;5;5
65+;K;warmiñsko-mazurskie;podlaskie;281;89.522;5;5
65+;K;warmiñsko-mazurskie;podlaskie;282;89.522;5;5
65+;K;warmiñsko-mazurskie;podlaskie;286;89.522;5;5
65+;K;warmiñsko-mazurskie;pomorskie;288;89.522;5;5
65+;K;warmiñsko-mazurskie;warmiñsko-mazurskie;279;89.501;5;5
65+;K;wielkopolskie;dolnoœl¹skie;289;89.522;5;<5
65+;K;wielkopolskie;³ódzkie;277;88.721;5;5
65+;K;wielkopolskie;³ódzkie;281;89.522;5;5
65+;K;wielkopolskie;³ódzkie;285;88.721;5;5
65+;K;wielkopolskie;³ódzkie;288;89.522;5;5
65+;K;wielkopolskie;wielkopolskie;279;37.83;5;<5
65+;K;wielkopolskie;wielkopolskie;281;37.83;5;5
65+;K;wielkopolskie;wielkopolskie;283;89.501;5;5
65+;K;wielkopolskie;wielkopolskie;289;36.070;5;<5
65+;K;wielkopolskie;;279;88.721;5;5
65+;K;wielkopolskie;;282;88.721;5;5
65+;K;wielkopolskie;;283;88.721;5;<5
65+;K;zachodniopomorskie;lubuskie;281;89.522;5;<5
65+;K;zachodniopomorskie;lubuskie;283;89.522;5;5
65+;K;zachodniopomorskie;lubuskie;288;89.522;5;5
65+;K;zachodniopomorskie;œl¹skie;281;89.522;5;<5
65+;K;zachodniopomorskie;wielkopolskie;283;89.522;5;<5
65+;K;zachodniopomorskie;wielkopolskie;284;89.522;5;5
65+;K;zachodniopomorskie;wielkopolskie;286;89.522;5;5
65+;K;zachodniopomorskie;wielkopolskie;287;89.522;5;<5
65+;K;zachodniopomorskie;zachodniopomorskie;277;89.501;5;<5
65+;K;zachodniopomorskie;zachodniopomorskie;277;89.502;5;5
65+;K;zachodniopomorskie;;279;88.721;5;5
65+;K;;dolnoœl¹skie;279;89.501;5;5
65+;K;;dolnoœl¹skie;283;89.502;5;5
65+;K;;dolnoœl¹skie;284;89.501;5;5
65+;K;;dolnoœl¹skie;288;89.502;5;5
65+;K;;kujawsko-pomorskie;281;89.501;5;5
65+;K;;kujawsko-pomorskie;283;89.502;5;5
65+;K;;kujawsko-pomorskie;286;89.502;5;5
65+;K;;kujawsko-pomorskie;288;89.502;5;5
65+;K;;³ódzkie;278;89.502;5;5
65+;K;;³ódzkie;280;89.502;5;5
65+;K;;³ódzkie;281;89.501;5;<5
65+;K;;³ódzkie;285;36.070;5;5
65+;K;;³ódzkie;289;36.070;5;<5
65+;K;;lubelskie;282;89.502;5;5
65+;K;;lubelskie;287;89.501;5;5
65+;K;;lubelskie;288;89.501;5;5
65+;K;;lubuskie;283;89.502;5;<5
65+;K;;ma³opolskie;276;89.501;5;5
65+;K;;ma³opolskie;277;89.501;5;<5
65+;K;;ma³opolskie;285;36.070;5;5
65+;K;;opolskie;276;88.721;5;<5
65+;K;;opolskie;287;89.502;5;5
65+;K;;podkarpackie;280;36.070;5;<5
65+;K;;podkarpackie;280;89.502;5;5
65+;K;;pomorskie;277;89.502;5;5
65+;K;;pomorskie;287;89.502;5;5
65+;K;;œwiêtokrzyskie;276;89.502;5;<5
65+;K;;œwiêtokrzyskie;287;89.502;5;5
65+;K;;warmiñsko-mazurskie;276;88.721;5;5
65+;K;;warmiñsko-mazurskie;279;89.502;5;5
65+;K;;warmiñsko-mazurskie;281;89.502;5;<5
65+;K;;warmiñsko-mazurskie;284;89.502;5;<5
65+;K;;wielkopolskie;279;89.501;5;<5
65+;K;;wielkopolskie;279;89.502;5;<5
65+;K;;zachodniopomorskie;277;88.721;5;<5
65+;K;;zachodniopomorskie;277;89.501;5;<5
65+;K;;zachodniopomorskie;280;88.721;5;5
65+;K;;;276;89.502;5;5
65+;K;;;280;88.721;5;5
65+;K;;;281;88.721;5;5
65+;K;;;287;88.721;5;5
65+;M;dolnoœl¹skie;dolnoœl¹skie;283;36.070;5;<5
65+;M;dolnoœl¹skie;dolnoœl¹skie;284;36.071;5;<5
65+;M;dolnoœl¹skie;dolnoœl¹skie;284;89.41;5;5
